ID vendeur;Date;Vendeur;ID avis;Note;Avis;ID commande;ID client
64;20/07/2020;Casal Sport;201;1.71;Je viens de revoir le colis, Emballage défectueux, à l'intérieur du colis : 1 trophée cassé et 2 trophées ébréchés.;1705;942
64;26/09/2020;Casal Sport;302;3.21;correct;611;1465
64;06/10/2020;Casal Sport;332;4.43;"Je n'ai pas eu d'expérience avec ce vendeur. Ce considère que si les produits sont sur le site de la FFT c'est qu'ils ont fait leur preuve
Cordialement";3008;3890
64;15/10/2020;Casal Sport;358;1.00;"2 colis sur 3 arrivés dont  1 complètement détérioré : je renvoie le tout Car il manque le plus cher, supposé perdu vu l’état du carton 
Et maintenant je n’ai plus rien sauf 1 envoi ( les cônes arrivés mercredi ) 
Donc beaucoup de dérangement et une livraison pour l’heure incomplète ( depuis 1 mois )";2980;3273
64;02/11/2020;Casal Sport;408;2.50;"Il a fallu que je me connecte à Proshop au bout d'une semaine pour apprendre que le matériel commandé était en rupture de stock. De ce fait, les délais de livraison ont été considérablement allongés. De plus, les frais de port sont disproportionnés (égal au matériel commandé). 
C'est inadmissible.";3107;341
65;05/06/2020;Manutan Collectivités;86;4.43;RAS;931;2057
65;26/06/2020;Manutan Collectivités;154;2.64;Delai trop long;1076;2290
65;15/07/2020;Manutan Collectivités;184;5.00;Pas de souci particulier.;1409;2502
65;15/07/2020;Manutan Collectivités;186;3.43;"Malgré ma demande, toujours pas reçu de facture !!
que faire ?";956;655
65;16/07/2020;Manutan Collectivités;188;3.00;Vous m'avez livré un mauvais produit, ni la taille ni la couleur demandée. Aucune réponse à mes emails aux services client de FFT et de Manutan. je suis TRES déçu.;987;2145
65;22/07/2020;Manutan Collectivités;205;3.29;PAS DE SOUCIS;1018;2181
65;22/07/2020;Manutan Collectivités;207;1.57;Livraison a la mauvaise adresse (adresse de facturation), produit manquant, livraison en retard... une cata;1618;2726
68;26/05/2020;LSC Maintenance;53;5.00;xxxx;965;193
68;09/06/2020;LSC Maintenance;92;5.00;Très bonne réactivité du vendeur et produit arrivé dans les meilleurs délais;1064;1490
68;10/06/2020;LSC Maintenance;94;5.00;Ras;1241;2389
68;15/06/2020;LSC Maintenance;105;3.86;La commande s'est faite par internet .;1277;2247
68;17/06/2020;LSC Maintenance;111;5.00;Rapidité ,qualité ,rien à ajouter;1278;2436
68;05/07/2020;LSC Maintenance;166;4.64;le site n'est cependant pas facile d'utilisation;1492;2590
68;09/07/2020;LSC Maintenance;170;5.00;xxxx;1650;193
68;27/07/2020;LSC Maintenance;215;5.00;Pas de contact;1821;2979
68;28/07/2020;LSC Maintenance;217;5.00;"Parfait : je noterai simplement une incertitude au moment de la commande pour obtenir les cartes codes qui accompagnent la commande 
stipuler un commentaire reste incertain il vaudrait mieux cocher le nombre de carte code dans une commande";1830;2880
68;01/08/2020;LSC Maintenance;219;5.00;Nous avons acheté plusieurs serrures de ce type et le problème c’est que le prix a explosé en quelques années. Bien dommage. Nous nous posons la question de revenir à des serrures à clef basiques pour la mise en place sur 2 nouvelles serrures.;1861;1704
68;05/08/2020;LSC Maintenance;223;5.00;.;1819;2975
68;07/08/2020;LSC Maintenance;227;5.00;Déjà commandé  jamais de soucjs;1949;3101
68;11/08/2020;LSC Maintenance;230;4.86;Livraison gratuite et ultra rapide !! (4 jours pour une commande de 4kg). Un très bon fournisseur. TC alby-sur-Chéran;1883;2982
68;19/08/2020;LSC Maintenance;235;5.00;"Parfait, commande facile à faire sur le site, suivi par mail efficace, délai de livraison au top.
Par contre, le prix du badge est élevé : 1,25 € par unité, donc par adhérent. C'est un coût pour un club.";1990;3135
68;20/08/2020;LSC Maintenance;240;5.00;Excellente;2047;235
68;21/08/2020;LSC Maintenance;242;5.00;Mon achat est sur un produit commandé régulièrement.;1962;2164
68;21/09/2020;LSC Maintenance;263;5.00;Ras rien à dire;2596;3637
68;21/09/2020;LSC Maintenance;268;5.00;Bien;2522;3578
68;30/09/2020;LSC Maintenance;317;5.00;Parfait;3112;4009
68;07/10/2020;LSC Maintenance;337;5.00;ENVOI PARFAIT DANS UN DELAI COURT;3265;2734
68;21/10/2020;LSC Maintenance;382;5.00;Rien à dire de plus que je suis pleinement satisfait ! M;3533;4408
68;04/11/2020;LSC Maintenance;413;5.00;Parfait précis pro;3752;2879
69;25/09/2020;SCFR Impex;297;5.00;RAS;2816;3774
71;15/06/2020;Netsportique;103;4.00;RAS;1232;1506
71;17/06/2020;Netsportique;115;1.00;"Rien reçu à ce jour
Problème de transport";1127;2357
71;19/08/2020;Netsportique;237;4.29;délais entre la commande et la livraison trop long;1890;3068
71;21/09/2020;Netsportique;248;3.86;Satisfaisant;2401;3492
71;21/09/2020;Netsportique;252;3.57;-;2531;145
71;21/09/2020;Netsportique;270;4.43;Ras;2597;3628
71;22/09/2020;Netsportique;279;5.00;"Rapport qualité prix conforme à nos attentes. Produit de bonne qualité, livré rapidement car en stock.
Nous recommandons ce produit.";2390;3470
71;25/09/2020;Netsportique;288;4.00;N'a pas tenu compte des jours de livraison possibles.;2804;2739
71;03/10/2020;Netsportique;325;3.36;"Très efficace pour la livraison et l'emballage des produits, mais les panneau de score son en langue étrangère et impossible de joindre le fournisseur ou Proshop de la FFT aucune réponse aucun recours.
Très dommage au vu du cout, la prochaine fois je commande sur un site chinois ...";3038;3918
71;05/10/2020;Netsportique;329;3.29;Délai anormalement long;2876;3320
71;16/10/2020;Netsportique;360;4.57;Rapide et efficace;3279;4194
71;16/10/2020;Netsportique;362;5.00;Satisfaction complète du vendeur. livraison rapide et parfaite.;3337;4249
71;20/10/2020;Netsportique;380;4.07;prévenir  (tél, sms, ou mail ) avant la livraison et la veille si possible;3306;4005
71;24/10/2020;Netsportique;396;3.71;"Obliger de demander la facture au vendeur pour l'obtenir.
La facture devrait systématiquement être envoyée avec le matériel ou accessible comme avant avec la centrale du club.";3560;969
71;29/10/2020;Netsportique;406;5.00;xxxx;3629;4568
88;05/07/2020;France Filets;163;5.00;Bonne;1299;2451
