ID;Debut;Fin;Statut;Produits HT;Livraison HT;Livraison TTC;Total HT;Total TVA;Total TTC;Comission HT;Comission TTC;Commandes remboursees TTC;Comissions remboursees TTC;Vendeur;Commandes
188;15-06-2020  18:06;01-07-2020  15:43;close;4834.42;145.69;174.77;4980.11;995.9500000000007;5976.06;776.90;776.90;0;0;Netsportique;GGSGCESDK,VJTCXHUUB,AXDUNGHRC,SDLVZSXBE,YKBKWSOGX,ISSWCSYQN,YZAXFHVRL,JMDBHIDXV,XSNICTCMI,MNWAYYZPR,DAZWQRKTT,FRQNOGCEK,QTOMTMHKR,EKEVSMCIR,RXMTADATJ,UOZCEXRSR,XKBYMOHMA,LRTWMLGVL,GYYRZALUL,YNHYPQRHI,VZEZECKJH,RCFPUOMKR,BTZFUGHTY,ULAOAXRZC,YAFZXBILO,GENQDHQZU
189;15-06-2020  18:06;01-07-2020  15:40;close;892.05;257.00;308.40;1149.05;222.54999999999995;1371.60;137.16;164.59;33.60;4.03;CIDI Event;AMPSUUYZA,EHTGUUNDD,TCIEJDGHH,VDIOCCVIS,ZAAEOIYKU
185;12-06-2020  13:22;;open;0;0;0;0;0;0;0;0;0;0;Audis;
184;11-06-2020  09:58;16-08-2020  17:22;close;63.80;17.16;20.60;80.96;16.200000000000003;97.16;9.72;11.66;0;0;Ballbox;QHAOBNZXO,UMAJUCVVZ
183;03-06-2020  09:45;10-06-2020  13:54;close;2092.11;0.00;0.00;2092.11;418.3899999999999;2510.50;251.04;301.26;0;0;Sodex International;NEJBKBLOB,POXWWGADB,AFGWPOBCN,KMMYJSQLE,IHPPSXIZA,OPCYFYJME,WKKJQMDBA,XJOSHPWAV,IPILCJDGB,PSVTGGGMB,RUICOJOQG,CQONGFYPL,PWWMEJRCC,LVHUOWJRX,KVDXYLAIW,YKBKWSOGX
182;03-06-2020  10:20;10-06-2020  13:12;close;786.16;209.30;251.16;995.45;199.07999999999993;1194.53;119.44;143.33;0;0;Casal Sport;CGQSJJAZL,UOVALTPAW,PIBMVQYTG,MZIDSCXGM,DVMOTQAQW,PEKPTQQLU,DQDLNTYQH,LKRLWNRIB,WROTXOUIO,RZCJSFDEW,AIDKCEDXG,MUTBCLIVP,IWUNEMOFP,DOSHNUHOA,NAGAPYMIY,CRSWCMGAL,BBNRDWOJB
181;03-06-2020  09:24;03-06-2020  10:20;close;556.04;51.60;61.92;607.64;121.51999999999998;729.16;72.92;87.50;55.80;6.04;Casal Sport;EQJCBEDMO,VKHGJTNKN,QWZROJDRQ,TTSQACPJH,QYUULCNRX
176;01-06-2020  14:22;15-06-2020  18:06;close;6789.91;376.00;376.00;7165.91;1357.9799999999996;8523.89;852.39;1022.87;0;0;VW Sports;YGKRCGQMD,IWURQLDZI,MYNYZLBNR,EQEPUHUIT,FHALBRSEG
177;01-06-2020  14:22;15-06-2020  18:06;close;1551.14;98.00;117.60;1649.14;329.81999999999994;1978.96;197.90;237.47;0;0;Manutan Collectivités;QVMTTZOTA,DUDVSCCUV,IWURQLDZI,DLYIIBTVQ
178;01-06-2020  14:22;01-07-2020  15:38;close;6467.00;0.00;0.00;6467.00;1293.3900000000003;7760.39;776.05;931.26;0;0;LSC Maintenance;UJPPCEEMX,CIVUZDOQN,VFDTXPWEG,SDDSQTUHU,HIMOXFZBJ,PHOKXFUUD,EXLWFJFSL,ASJWUQCDW,DEQRRSSYJ,PCNWETBHC,RGXXUOXWC,CZWQDDLJX,JFJNAQWRC,CDZOXJKYS,VQOHUKCYH,HUWFMZGNN,ILAIXDPHB,RDCQTTFTS,UFLRKHTLF,NPSUVKHLW,PXBCOQRNJ
179;01-06-2020  14:22;15-06-2020  18:06;close;458.95;16.64;19.96;475.59;95.11000000000007;570.70;74.19;74.19;0;0;Netsportique;PLLHPQDZU,IHPPSXIZA,FRFLAYDXB,QGKPYVDRL
180;01-06-2020  14:22;15-06-2020  18:06;close;129.00;91.60;105.60;220.60;39.79999999999998;260.40;26.04;31.25;0;0;CIDI Event;HPRTIGBHF,WZJJQHWQW
171;01-06-2020  14:22;15-06-2020  18:06;close;405.41;61.25;73.50;466.66;93.33999999999997;560.00;60.67;72.81;0;0;Huck Occitania;IHPPSXIZA,GUEYRQZFB,ERAZEQVYL,WKKJQMDBA,XJOSHPWAV
172;01-06-2020  14:22;;open;647.33;0.00;0.00;647.33;129.4699999999999;776.80;77.68;93.22;0;0;SET;KFKVJDQNI
173;01-06-2020  14:22;15-06-2020  18:06;close;1599.17;35.00;42.00;1634.17;326.8299999999999;1961.00;212.45;254.93;0;0;Innoquipe;YEIAGSXXM,GIPSRSXJY,NALVLJZGP,XFJVPZUZF,TPRIZAFDE
174;01-06-2020  14:22;15-06-2020  18:06;close;236.54;35.83;43.00;272.37;54.48000000000002;326.85;32.69;39.23;0;0;Cress Sport;YPSLJQOYW,ETHCYIQWO,PVKNGBMWL
175;01-06-2020  14:22;15-06-2020  18:06;close;66.25;0.00;0.00;66.25;13.25;79.50;7.95;9.54;0;0;SLS Distribution;BAMAYUPWJ
167;15-05-2020  13:09;01-06-2020  14:22;close;15.10;12.50;15.00;27.60;5.519999999999996;33.12;3.31;3.97;33.12;3.97;Manutan Collectivités;KEFFDDTAS
168;15-05-2020  13:08;15-06-2020  18:06;close;26.96;7.90;9.48;34.86;6.969999999999999;41.83;3.83;4.60;0;0;SCFR Impex;OUIVCPGNF
169;15-05-2020  13:08;01-06-2020  14:22;close;2352.56;33.31;39.96;2385.87;477.1600000000003;2863.03;372.20;372.20;0;0;Netsportique;ZIVXWCFOQ,MHUTPDJVS,OXQJGKDND,HMWFWXQLS,LJDXLWSLG
170;15-05-2020  13:09;;open;0;0;0;0;0;0;0;0;0;0;LEDUSTRY;
164;15-05-2020  13:09;01-06-2020  14:22;close;201.67;20.00;24.00;221.67;44.33000000000001;266.00;28.82;34.58;0;0;Innoquipe;BJIQFKKWY,GTFFJFFNK,YUUEBPRUG,ZIBTBWNAM
165;15-05-2020  13:09;01-06-2020  14:22;close;174.55;17.41;20.89;191.96;38.379999999999995;230.34;23.03;27.64;0;0;Cress Sport;JZIWMAKZZ,XFJVPZUZF
166;15-05-2020  13:08;01-06-2020  14:22;close;510.40;70.00;70.00;580.40;102.08000000000004;682.48;68.25;81.90;0;0;VW Sports;KDESFMSNA,GTFFJFFNK,MPGKROHCN
163;11-05-2020  12:31;03-06-2020  09:24;close;873.49;124.00;148.80;997.49;199.49;1196.98;119.70;143.63;216.00;21.60;Casal Sport;LHALCNTPZ,OQKYJLRJM,XXEMYVNXZ,UBFAVKSIP,PGEKPVSYM,NOIGAOEYZ,AAKBRTKPC,JYOQIUJUV,HOTTSDYCA,DMUNKCNXH,IAFGAGGBI,LGLEGCTDR
162;10-05-2020  11:40;15-07-2020  17:30;close;348.33;90.00;108.00;438.33;87.67000000000002;526.00;56.98;68.38;0;0;hygy;PCGXODLGV
161;03-04-2020  08:11;03-06-2020  09:45;close;3541.51;0.00;0.00;3541.51;708.3000000000002;4249.81;424.97;509.98;0;0;Sodex International;LDPFGNIHH,CZMPYIWGP,RRISFRNZD,YWZVVQHSX,HVPTDNZAR,RXKPGAWWO,MHUTPDJVS,HMWFWXQLS,MYNYZLBNR,DVTGDSJWZ,RGIXIWSRR,DRXNHKKPB,NSXDLHRNW,NHUBAJLFQ
160;24-03-2020  09:45;26-08-2020  15:52;close;18284.43;1073.01;1287.72;19357.44;3852.0699999999997;23209.51;0.00;0.00;683.00;0.00;F.F.T.;WQOZJGMXS,QPAPMJWHB,WHQLMNFOE,BBIATTDVV,SQWRFRLOH,UKFBGGPWY,RZOXUKCYW,PRJCLTHKB,KFPHEMHSF,MYMAIFWNS,MBLGTSQUE,AATKFFZMT,CDRLMEMHC,FRHQQNLOA,AZHYBKNZQ,SVXVUWFKL,LVMSUARJS,GIRIFLUHW,TXPRBBOCR,LHXXGZCES,RJCIPWQTD,GMLBUTHXS,HVJCOQPTW,ZLXLBYXCL,TZRAZXDKA,CEPBBJLKR,QRJJQGPUI,QBKNLRHZU,YTIHTTIJW,MSCQIBCZF,AWIXWJYJO,UJTIKWSVZ,ILLXBYJAA,YLOPATFPQ,APFPYJQSX,ZIBTBWNAM,HPRTIGBHF,RHZWQZRWN,NMTZIQJUN,PVKNGBMWL,UTPUGPMAK,DLYIIBTVQ,AGESJWRXE,OXFOGLUHN,KTWXZEONJ,RZGJXGCPX,BIMYIBKDJ,ZKSXRZOVO,NKGAYQHCY,OCOZVLNFP,NUHPGCKPG,LXAGNBNEG,OGFSBOSXH,UXNJSZVMM,OGNVXJAIV,JMDBHIDXV,MNWAYYZPR,DAZWQRKTT,FRQNOGCEK,FRQNOGCEK,OUMAYXZCL,EKEVSMCIR,CRMUCELEN,RXMTADATJ,XKBYMOHMA,VRVNKOBQK,UYPSWDKRC,JLLLSBQAF,BMNSQSYGT,FCOXWEOKZ,EFIJRTDPB,HLXSRORAQ,OTBMTTQJC,ALOIKKJQT,KSTITTQFX,QAWWQCRHO,IXMSDNAXX,SBDKDVNJT,EPBNWKWOQ,XIZUUQHTH,YYNYKMKNN,CXIRTCRGD,ORFVOYKEI,YJNQVCEJO,YJNQVCEJO,UGMCEGXCM,YSFZCARBY,KHOXBOMXO,TMRZYMRPD,AZHMEGUDT,VZGWHECBC,HLGSQEFZA,CCDVHPIKO,NSJTWMWUY,ZTGSZYIVB,SSVNZWOXM,EYETSSEXT,AIMPTPBAA,BKIVWZGUD,NBVFIENIF,XLRGSPNFG,DLNYITKQL,WXUYCESJY,GBPMUOANC,JSCANPFFY,ITDWQPOWO,ADZUAVGHR,QCMFTRAJP,BTGWSAPBD,ZCZZQYBWR,CLPXTHNVS,QBNDCVASR,BRKOMXLYD,CQHBGTYVM,GFTDJLAQV,QFPCXTQSL,HASGOXCPF,HFVVJXUOG,YCYQSPLHA,KSCLBVFVP,PVSSHKHAA,MOPVXEUUF,KVGVUDHUY,OYFSXDBIF,QKMLGVLHZ,QZEXRNBKR,YXZOLLUCK,JWUNIWDBQ,DNZVKJDJU,EZUCWXAHH,WFSSSHQGF,BUJVXGREB,ZVGNBOHWP,ERGKSVOHW,BDNRZFRFE,TJARMLZFF,QJOINYRJJ,PCQDOPQSY,IXMRREFBU,HVVYCNKWT,PYOYEPJSC,YUAMZMASM,ZGPCXWGLH,SGVYEWDBG,SGVYEWDBG,ZUHENHGYR,VVGIZWVCV,HKJCPAHPJ,AQHYBVLBD,IDHPTPETT,XHXRKAKHX,WGNTYANCS,ZZIRESAIP,ZWTVOIUWO,WJLJHQEWP,RTAKKIGLB,KKOGABQSS,JWIGOAPEO,YQOOBPUPG
158;15-04-2020  06:18;15-05-2020  13:08;close;148.81;11.50;13.80;160.31;32.06;192.37;17.63;21.16;0;0;SCFR Impex;MSCQIBCZF
159;15-04-2020  06:18;15-05-2020  13:08;close;525.48;12.48;14.97;537.96;107.58999999999992;645.55;83.92;83.92;79.99;10.40;Netsportique;GTFFJFFNK,HQTZQZZAS,GXEYAWWDD
157;15-04-2020  06:19;01-06-2020  14:22;close;1531.28;0.00;0.00;1531.28;306.25;1837.53;183.75;220.50;1.25;0.13;LSC Maintenance;YXAVCLQEX,TFHJWOWBP,CVQGSKIHR,QVBBFPMYQ,EWBQPYYMB,QSTXNYYYL,MDRUYHCTC,EPFBRULQY,KWNDDOAAD,KIKXKRUHU,YRSILNDIW,HDTYTDBKT,EZNFITOPR,TRCVSXCTN,OHYTQJJAB,EKZSWASDC
156;15-04-2020  06:20;01-07-2020  15:37;close;115.00;11.45;13.74;126.45;25.290000000000006;151.74;15.17;18.21;0;0;Tupi caoutchouc;PVKNGBMWL
155;15-04-2020  06:19;15-05-2020  13:08;close;668.42;68.00;68.00;736.42;133.68000000000006;870.10;87.01;104.42;0;0;VW Sports;JSLZPQVCJ,VSRODRRFM,QBKNLRHZU,PZZYIHADG
153;15-04-2020  06:19;15-05-2020  13:09;close;173.33;20.00;24.00;193.33;38.66999999999999;232.00;25.14;30.16;79.00;10.27;Innoquipe;MBSSSSBWZ,MSCQIBCZF,AWIXWJYJO,OJFZSODCD
